id,name,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year
7lmeHLHBe4nmXzuXc0HDjk,Testify,['Rage Against The Machine'],FALSE,0.47,0.978,7,-5.399,1,0.0727,0.0261,1.09E-05,0.356,0.503,117.906,210133,4,1999
1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,['Rage Against The Machine'],TRUE,0.599,0.957,11,-5.764,1,0.188,0.0129,7.06E-05,0.155,0.489,103.68,206200,4,1999
1hR0fIFK2qRG3f3RF70pb7,Calm Like a Bomb,['Rage Against The Machine'],FALSE,0.315,0.97,7,-5.424,1,0.483,0.0234,2.03E-06,0.122,0.37,149.749,298893,4,1999
2lbASgTSoDO7MTuLAXlTW0,Mic Check,['Rage Against The Machine'],TRUE,0.44,0.967,11,-5.83,0,0.237,0.163,3.64E-06,0.121,0.574,96.752,213640,4,1999
1MQTmpYOZ6fcMQc56Hdo7T,Sleep Now In the Fire,['Rage Against The Machine'],FALSE,0.426,0.929,2,-6.729,1,0.0701,0.00162,0.105,0.0789,0.539,127.059,205600,4,1999
2LXPNLSMAauNJfnC58lSqY,Born of a Broken Man,['Rage Against The Machine'],FALSE,0.298,0.848,2,-5.947,1,0.0727,0.0538,0.00152,0.201,0.194,148.282,280960,4,1999
3moeHk8eIajvUEzVocXukf,Born As Ghosts,['Rage Against The Machine'],FALSE,0.417,0.976,9,-6.032,1,0.175,0.000427,0.000134,0.107,0.483,90.395,202040,4,1999
4llunZfVXv3NvUzXVB3VVL,Maria,['Rage Against The Machine'],FALSE,0.277,0.873,11,-6.571,0,0.0883,0.00694,5.40E-05,0.188,0.618,172.848,228093,4,1999
21Mq0NzFoVRvOmLTOnJjng,Voice of the Voiceless,['Rage Against The Machine'],FALSE,0.441,0.882,7,-7.363,1,0.044,0.0195,0.00684,0.15,0.418,83.371,151573,4,1999
6s2FgJbnnMwFTpWJZzvb6z,New Millennium Homes,['Rage Against The Machine'],FALSE,0.448,0.861,9,-6.12,1,0.0676,0.00306,0,0.0987,0.761,92.777,224933,4,1999
7o2Razxnl33Jrgz4PpMYNa,Ashes In the Fall,['Rage Against The Machine'],TRUE,0.456,0.704,7,-6.687,1,0.0982,0.0052,4.12E-06,0.0595,0.656,140.629,277267,4,1999
3Hxu3Ey1TV9mZ5XqMXckiS,War Within a Breath,['Rage Against The Machine'],FALSE,0.399,0.965,6,-5.901,1,0.143,0.00442,0.0314,0.367,0.174,98.464,216427,4,1999
6ZU9RJIZ0fNaFuQM57bDIA,Bombtrack,['Rage Against The Machine'],TRUE,0.478,0.855,4,-7.438,0,0.121,0.0134,3.18E-05,0.179,0.668,151.93,243760,4,1992
3FUS56gKr9mVBmzvlnodlh,Killing In the Name,['Rage Against The Machine'],TRUE,0.457,0.779,7,-6.323,1,0.257,0.0185,2.04E-06,0.0247,0.734,86.573,313667,4,1992
3tTL7jlSkowXidYeafFtwG,Take the Power Back,['Rage Against The Machine'],TRUE,0.542,0.842,1,-7.137,1,0.173,0.043,0.000153,0.173,0.301,104.772,335840,4,1992
2vuDdXqekkDCSdawJyUpT6,Settle for Nothing,['Rage Against The Machine'],FALSE,0.516,0.533,7,-9.563,1,0.0429,0.0253,4.71E-05,0.113,0.29,97.732,287333,4,1992
11cxKUEgnVAlesUKt4e3br,Bullet In the Head,['Rage Against The Machine'],TRUE,0.418,0.806,4,-6.965,1,0.128,0.0032,0.000788,0.623,0.447,164.202,307067,4,1992
1IDAJagxB9AQjjYXaiDK1j,Know Your Enemy,['Rage Against The Machine'],TRUE,0.574,0.765,4,-7.755,1,0.128,0.0141,0.00378,0.136,0.613,117.636,294693,4,1992
6zbHSDJjgrNdfIxPyGfPBt,Wake Up,['Rage Against The Machine'],FALSE,0.411,0.823,7,-7.554,1,0.115,0.00316,0.0148,0.149,0.573,170.281,364133,4,1992
3YEk8mVdMI7rxtfimlUd1G,Fistful of Steel,['Rage Against The Machine'],FALSE,0.52,0.755,4,-9.031,0,0.134,0.0195,0.34,0.0956,0.608,155.513,331107,4,1992
0WK0EqiidP6WEDOHK34HEe,Township Rebellion,['Rage Against The Machine'],TRUE,0.525,0.597,2,-8.578,1,0.0551,0.00747,0.00553,0.351,0.47,133.58,324427,4,1992
1zVE9JBBy8j0KmlbM8Xwhi,Freedom,['Rage Against The Machine'],FALSE,0.499,0.613,7,-8.53,1,0.0953,0.00061,0.0225,0.232,0.531,113.577,366267,4,1992
2SwgVZn9S4NGueAaEAryf1,Man on a Mission,['Daryl Hall & John Oates'],FALSE,0.787,0.903,0,-4.894,1,0.0315,0.292,2.48E-05,0.101,0.962,119.946,224307,4,2018
0QCQ1Isa0YPVyIbs6JwpO1,Do It for Love,['Daryl Hall & John Oates'],FALSE,0.587,0.958,4,-5.149,1,0.0586,0.107,0,0.0574,0.832,87.976,238000,4,2018
