id,name,artists
7lmeHLHBe4nmXzuXc0HDjk,Testify,['Rage Against The Machine']
1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,['Rage Against The Machine']
1hR0fIFK2qRG3f3RF70pb7,Calm Like a Bomb,['Rage Against The Machine']
2lbASgTSoDO7MTuLAXlTW0,Mic Check,['Rage Against The Machine']
1MQTmpYOZ6fcMQc56Hdo7T,Sleep Now In the Fire,['Rage Against The Machine']
2LXPNLSMAauNJfnC58lSqY,Born of a Broken Man,['Rage Against The Machine']
3moeHk8eIajvUEzVocXukf,Born As Ghosts,['Rage Against The Machine']
4llunZfVXv3NvUzXVB3VVL,Maria,['Rage Against The Machine']
21Mq0NzFoVRvOmLTOnJjng,Voice of the Voiceless,['Rage Against The Machine']
6s2FgJbnnMwFTpWJZzvb6z,New Millennium Homes,['Rage Against The Machine']
7o2Razxnl33Jrgz4PpMYNa,Ashes In the Fall,['Rage Against The Machine']
3Hxu3Ey1TV9mZ5XqMXckiS,War Within a Breath,['Rage Against The Machine']
6ZU9RJIZ0fNaFuQM57bDIA,Bombtrack,['Rage Against The Machine']
3FUS56gKr9mVBmzvlnodlh,Killing In the Name,['Rage Against The Machine']
3tTL7jlSkowXidYeafFtwG,Take the Power Back,['Rage Against The Machine']
2vuDdXqekkDCSdawJyUpT6,Settle for Nothing,['Rage Against The Machine']
11cxKUEgnVAlesUKt4e3br,Bullet In the Head,['Rage Against The Machine']
1IDAJagxB9AQjjYXaiDK1j,Know Your Enemy,['Rage Against The Machine']
6zbHSDJjgrNdfIxPyGfPBt,Wake Up,['Rage Against The Machine']
3YEk8mVdMI7rxtfimlUd1G,Fistful of Steel,['Rage Against The Machine']
0WK0EqiidP6WEDOHK34HEe,Township Rebellion,['Rage Against The Machine']
1zVE9JBBy8j0KmlbM8Xwhi,Freedom,['Rage Against The Machine']
2SwgVZn9S4NGueAaEAryf1,Man on a Mission,['Daryl Hall & John Oates']
0QCQ1Isa0YPVyIbs6JwpO1,Do It for Love,['Daryl Hall & John Oates']
3kIBEFhsZOeeKGebxRraOb,Someday We'll Know,['Daryl Hall & John Oates']
5dNDRw6qjDcnbW3luRhElU,Forever for You,['Daryl Hall & John Oates']
561UU4MvlsCenN1x7leYCh,Life's Too Short,['Daryl Hall & John Oates']
5ytl6Ay8G7ucmujk9R3S0c,Getaway Car,['Daryl Hall & John Oates']
0zjqm0VWOQT9is5gT9CTib,Make You Stay,['Daryl Hall & John Oates']
5UMTzSiB8mMu9vuo2PZkhd,Miss DJ,['Daryl Hall & John Oates']
6Uz62Rd9XadpjT8Zebgwq2,She Got Me Bad,['Daryl Hall & John Oates']
7IYXfiXsiMdhcboT6Vw7Qu,Breath of Your Life,['Daryl Hall & John Oates']
0dT5eHAqMNchKMw06dgyFW,Intuition,['Daryl Hall & John Oates']
3nvfZxZcdZ5rIy8bxAr5fX,Heartbreak Time,['Daryl Hall & John Oates']
2nWM35FPxkYAWHHv9hrczL,Something About You,['Daryl Hall & John Oates']
1pxJE4N74aGkC6BbIUhq3P,Love in a Dangerous Time,['Daryl Hall & John Oates']
5oLsi3F0C26MGnXJcnzQyB,Love The One You're With,['Will Young']
7xGWDXdFKvsapcORfJuloO,Your Game,['Will Young']
0AqhwhQv1xnqCH9wzlQ7PE,Stronger,['Will Young']
4mZsyuthp695XQWwb2g3qe,Leave Right Now,['Will Young']
5nvUqq0fvB0GN6mqzDc9Ey,Love Is A Matter Of Distance,['Will Young']
4KepeWvq5KfZUevd0cQ70T,Dance The Night Away,['Will Young']
3VXoePG7JjYl2ay8fzLhtG,Very Kind,['Will Young']
41YN3uBz1PpFNZtmAAaSKS,Free,['Will Young']
2nO4uKyReZHH7JS61yT2nS,Going My Way,['Will Young']
4L4Ug6ah2UXH3JDlpeduRf,Out Of My Mind,['Will Young']
2JgPlDkLbdcRk5Jp3e7Pgm,Friday's Child,['Will Young']
5Kz6iIkOBZepijORtkfEvj,Listen For The Laugh,['Bruce Cockburn']
6uu5fXS1JPfX3pGArifC8A,All The Ways I Want You,['Bruce Cockburn']
6AGrDsrNVFeTTl4sQHfqsY,Bone In My Ear,['Bruce Cockburn']
1MdS31xYweAsuwj7fdR8xA,Burden Of The Angel/Beast,['Bruce Cockburn']
0rHW20CX7izpkFLVj6RhtM,Scanning These Crowds,['Bruce Cockburn']
31v1dqATMAtTPlZjOE3Tou,Southland Of The Heart,['Bruce Cockburn']
4M2EK2o9Zgy2jeqLVifARM,Train In The Rain,['Bruce Cockburn']
59gijFhkwYNY2IAw0wg2PX,Someone I Used To Love,['Bruce Cockburn']
1dVT2CbuH0j9rKco5dvkLI,Love Loves You Too,['Bruce Cockburn']
